HAFN ALVE      1430-80 00110001010010110010000000111000000010110010111
HAFN ALVE      1728-82 00100001010010110010000000111000000010110010101
HAFN ALVE      2921-80 00110001011011110110100000111110000010100010111
HAFN ALVE      1629-79 01110001011011110010000000111110000010110010111
HAFN ALVE      1516-79 00110001011011110010000000111110000010100010111
HAFN ALVE      1242-77 00110001011010110110100010111110010010110010101
HAFN ALVE      0172-80 01110001111011110110100010111110010010110010101
HAFN ALVE      2503-81 01110001110011110110100000011110000010010010111
HAFN ALVE      1203-82 00110001111011110010000010111110010010110010111
HAFN ALVE      0369-81 00110001111010110010100010111110010010010010111
HAFN ALVE      0135-82 00110001111011110110000010111110010010110010001
HAFN ALVE      2958-81 00110001111010110110000010111110010010010010101
HAFN ALVE      1705-82 00100001111010110010000010111110000010100010111
HAFN ALVE      2359-78 00100001011010110010000010111110000010010010101
HAFN ALVE      1758-79 00100001011010110010000010111110000010010010101
HAFN ALVE      2272-78 01110001011010110010000010111110000010110010101
HAFN ALVE      2895-80 00110001011010110010000010111110000010110010111
HAFN ALVE      1848-79 00110001011010110010000010111110000010110010101
HAFN ALVE      0217-80 00110001011010110110000010111110000010110010111
HAFN ALVE      0118-80 00110001011010110110000010111110000010110010111
HAFN ALVE      1619-78 00110001010010110010000010111110010010010010111
HAFN ALVE      2631-81 01010001111011110010000010011100000010100010111
HAFN ALVE      1578-77 01000001110011110010000010111100000010100010111
HAFN ALVE      2970-77 00110001011010110010100010111110010010110010011
HAFN ALVE      2356-78 01100001010010110010000010111110000010010010101
HAFN ALVE      1298-80 01010001110010110010000010111110000010110010111
HAFN ALVE      4285-85 01100101011010110010000010111110000010110010101
HAFN ALVE      1722-80 00110001011010111010000011111110000010110010111
HAFN ALVE      0524-77 00110001011010111010000011111100000010110010101
HAFN ALVE      1752-79 00100001010011110010000010111100000010110010010
KOSE TRAB      2414-88 01010001111010110010100010111110011000000010111
HAFN ALVE      4057-83 00110001110010111010000011111110000010100000101
HAFN ALVE      1021-78 01000001010010110010100010011110000010000010101
HAFN ALVE      2017-79 00100011011010110010000010111100000010110010101
HAFN ALVE      2879-79 01010001111010100010000010111100000010110010101
KOSE TRAB      0136-82 01000001111010100010100010111110011000000010101
KOSE TRAB      2602-87 01010001111010110010100011111110011000010010111
