Vibrio harveyi                   0272 VIB 410 (IP ATCC 14126) 011111110001010101000111011000110011100000101000001101000001100011111111000001011100011100000111
Vibrio harveyi                   0286 VIB 326                 011110110001010101000111001000110010001000101000000101000001101111111111000001011100011100001111
Vibrio harveyi                   0292 VIB 594                 001110010001010101000111000000010010000000000000000001000000000001111111000001011100011100001011
Vibrio harveyi                   0317 VIB 398                 011110010001010111010111000000010010001000101000000101000001000000011111000001011100011000001011
Vibrio harveyi                   0319 VIB 629                 001111010001010011000111000000010010100000101000000001000001100001111111000001011100010100001000
Vibrio harveyi                   0323 VIB 628                 011111010101010111000111101000110010100000100000000101010001000001111111000001011100011100001111
Vibrio harveyi                   0326 VIB 631 (Ven,33)        011111110001010101000111000000110011110000101000000101010001101001111111000001011100011100001111
Vibrio harveyi                   0330 VIB 648                 011110110001010101000111001000110010000000100000000101010000001101111111000001011100011100001111
Vibrio harveyi                   0338 VIB 192                 001111010001010101000111001000010010100000001000000101000001100001111111000001001100011100001011
Vibrio harveyi                   0345 VIB 193                 001110010001010101000111001000010010100000001000000101011001100001111111000001001100011100001011
Vibrio harveyi                   0346 VIB 185                 011110010001010111000111001000110010100000100000000101010001100001111110000001011100011100001011
Vibrio harveyi                   0351 VIB 23                  011111110001010111000111011001110011111000101000000101010001100111111111010001011100011100001111
Vibrio harveyi                   0352 VIB 24                  011111110001010111110111011001110011111000101000000101010001101111111111010001011100011100001111
Vibrio harveyi                   0366 VIB 207                 001110010001010101000111001000010010100000000000000101000001000011111111000001001100011100001111
Vibrio harveyi                   0368 VIB 209                 001110010001010101000111001001010011100000001000000101001001100111111111000001001100011100001011
Vibrio harveyi                   0369 VIB 210                 001110010001010101000111001000010010100000001000000101001001100011111111000001001100011100001111
Vibrio harveyi                   0370 VIB 211                 001110010001010101000111001000110010100000001000000101000001000011111111000001001100011100001111
Vibrio harveyi                   0371 VIB 212                 001110010001010101000111001000010010100000001000000101001001100011111111000001001100011100001111
Vibrio harveyi                   0373 VIB 215                 001110010001010101000111001000010010000000101000000001000001000011111111000001001100011100001011
Vibrio harveyi                   0380 VIB 223                 001110010001010101000111001000010010000000001000000101000000000001111111000001001100011100001011
Vibrio harveyi                   0381 VIB 224                 001110010001010101000111001000110010100000001000000101010001000001111111000001001100011100001011
Vibrio harveyi                   0382 VIB 225                 001110010001010101000111001000010010010000100000000001000000000001110110000001001100011100001011
Vibrio harveyi                   0384 VIB 618                 011111010001010111000111001000110011100000101000000101010001101111111111000001011100011100001111
Vibrio harveyi                   0393 VIB 609 (ATCC 33212)    001110110001010101000111111000110011000000101000000101000001001101111111000001011100011100000011
Vibrio harveyi                   0396 VIB 622                 011111010001010111000111001000110011100000101000000101010001101101111111000001001100011100001111
Vibrio harveyi                   0401 VIB 214                 011110010001010011000111011000110011100000101000000001000001000001111110000001001000011100001011
Vibrio harveyi                   0404 VIB 653                 011111110001010101000111001001110010100000101000000101000001001001111111000000011100011100001111
Vibrio harveyi                   0405 VIB 656                 011110010001010011000111001000110011100000100000000001000001000001111111000000011100011100001011
Vibrio harveyi                   0406 VIB 654                 011111110001010101000111001000110011110010101000000101000001100001111111000001011100011100001111
Vibrio harveyi                   0407 VIB 655                 011110010001010011000111001000110011100000101000000001000001000101111111000001011100011100001111
Vibrio harveyi                   0408 VIB 645                 011110110001010001000111001001110010000000100000000001010000000001111110000001011100010000001111
Vibrio harveyi                   0409 VIB 659                 011110110001010001000111001001110010000000101000000001000001100001111111000001010100011100001111
Vibrio harveyi                   0410 VIB 660                 011111110001010101000111001001110010111000101000000101010001100011111111000001011100011100001111
Vibrio harveyi                   0411 VIB 646                 011111110001010101000111001001110011110010101000000101010001101101111111000001011100011100001111
Vibrio harveyi                   0412 VIB 652                 011111110001010101000111001001110011110000101000000101000001101101111111000001011100011100001111
Vibrio harveyi                   0413 VIB 661                 011111010001010111000111001000110011100000100000000001010001100101111111000001011100011100001111
Vibrio harveyi                   0414 VIB 650                 011110110001010101000111001001110010000000101000000001000001001001111111000001011100011100000111
Vibrio harveyi                   0416 VIB 665                 011111110001010101000111011000110011110000101000000101000001001001111111000001011100011100001111
Vibrio harveyi                   0417 VIB 667                 011111010001010111000111011000110011100000101000101101010001101111111111010001011100011100001111
Vibrio harveyi                   0421 VIB 633 (Ven,40)        011111110001010101000111001001110011010000101000000101000000001101111111000001011100010100000011
Vibrio harveyi                   0422 VIB 395                 001110010001010111000111001000010010100000101000000101010001001101111111000000011100011100001011
Vibrio harveyi                   0427 VIB 391                 001110010001010011000111001000010011110000101000000001010001111101111111000001011100011100001011
Vibrio harveyi                   0431 VIB 401 (ATCC 33842)    001100010001010011000111000000010010000000101000000000000000000000011111000000000100011100000011
Vibrio harveyi                   0437 VIB 658                 011111110001010101000111001001010011011000101000000001010001101101111111000001011100011100001111
Vibrio harveyi                   0448 MJP 9 OM 4              001110010001010011000111001000010010100000101000000101011001101101111111000001011100011100001111
Vibrio harveyi                   0449 MJP 7 OT16-1            011111010001010111000111001000110010000000101000000001000001000001111110000000000000011100001011
Vibrio harveyi                   0458 MJP 7 OT16-2            011111010001010111000111001000110010100000101000000101010001101001111111000000000100011100001011
Vibrio harveyi                   0460 MJP 7 OT 23             011110010001010111010111001000110010000000101000000001000001000001111111000000001100011000001011
Vibrio harveyi                   0461 VIB 413                 011111110001010111000111001000110011111000101000000101010001101111111111000001011100011100001111
Vibrio harveyi                   0462 VIB 538 (AAHRI 06)      001111010001010111000111001000010011110000101000000101010001101111111111000001011100011100001011
Vibrio harveyi                   0479 VIB 647                 011110110001010101000111011001110010111000101000000101000001000001111111010001011100011100001111
Vibrio harveyi                   0513 6,8                     001110010001010011010111001000010010000000101000000001000001000001111101000001001100000000001111
Vibrio harveyi                   0514 15,8                    011111110001010101000111001000110010000000100000000001000001000001110110000000011100011100001011
Vibrio harveyi                   0526 VIB 759                 001110010001010101010111001000010010000000101000000101000001000001111111000001001100011100001011
Vibrio harveyi                   0527 VIB 757                 001110010001010101010111001000010010000000101000000001000001000001111111000001001100011100001011
Vibrio harveyi                   0531 VIB 758                 001110010001010101000111001000010010010000001000000001000001000001111111000001001100011100001011
Vibrio harveyi                   0541 VIB 766                 001110010001010101010111001000010010000000101000000101000001000001111111000001001100010100001011
Vibrio harveyi                   0550 VIB 853                 011110110001010111000111001001010010000000101000000101000001000101111111000001011000011100001111
