V.        harveyi   VIB 326 011111110001010101000111001000110011101000101000000101000001101111111111010001011100011100001111
V.  metschnikovii   VIB 445 001111010111010111000111011111111011110100101010001101111001111011111111101101001100011101001111
V.        VIB 579   VIB 468 011111111001010001000111001000111011000000101010000101000001100011111111100001001100011100001011
V.        harveyi   VIB 508 011111010001010101000111001000110010000000101000000101000001001011111111000001001100011100001011
V.        VIB 210   VIB 509 001111010001010101000111001000110011100000100000000101011001100011111111000001001100011100001011
V.         VIB 66   VIB 575 001111010001010001000111001001110010000000100000000001000000000000111111000000001000010100001011
V.        VIB 579   VIB 579 011110110001010001000111001000110010000000100000000101000001000001111111100001001100011000001011
V.        VIB 579   VIB 582 011110010101010101000111001000111010000000100010000101010001000000111110100001001100011100001011
V.        VIB 210   VIB 594 001111010001010101000111001000010010000000100000000001000000000001111111000001011100011100001011
V.     campbellii   VIB 474 011111010000010101000111000000010010000000100000000001000001000011111100000001011100010001001000
V.        VIB 782   VIB 468 001000101000010001000101001000101010000000100010000001000000000000000000000000000000011100000000
V.        VIB 510   VIB 510 000011010000000001000010000000000010000000000000000000000000000000000000000000000000010000000000
V.       STD3-938   VIB 592 001110010001010001000111000000010010000000000000000000000000000000000111000000000000011100000000
V.       FKFO 117   VIB 586 011111010001010101000111001000110010000000000000000101000000000000011110000001001100010000001000
V.  alginolyticus   VIB 332 011111010101011001000111011001110011110100100000001101010001110111111111111101001100011101101111
V.        mytilii  VIB 541R 001111010000010011000110011000110010000000100000000000000000000000000000000000001000010000000000
V.  alginolyticus   VIB 344 011111010101010001000111011001110011110100100000001101010001110111111111111101001100011101101111
V.     campbellii   VIB 596 011100010000010101000111000000010010000000100000000001000001000010111110000001001100010000001000
V.        VIB 764   VIB 578 001110010001010101000111001000110010110000101000000001010001001001111111000001011100011100001000
V.        FKFO 99   VIB 595 001110010001010001000111000000010010000000000000000001000000000000011111000001001100010000001011
V.       FKFO 117   VIB 587 001110010001010001000111001000110010000000000000000001000000000000011100000001001100011100001000
V.       STD3-938   VIB 593 001110010001010001000111001000010010000000000000000000000000000000000110000000000000011000000000
V.  alginolyticus   VIB 340 011111010000010001000110001000110011000000100000000101010001110111111111111101001100011101001111
V.       STD3-348   VIB 513 001111010000010101100101011000110011100000100000001001010001110111111111110101011100011100001111
V.      STD3-1008   VIB 469 001110010000010101000110010000110010010000100000000001000001000001110111000000001100010000001000
V.        VIB 210   VIB 515 001111010001010101000111011000110011000000000010000001000001000001111111000000001100010000001011
V.       FKFO 153   VIB 516 001110010001010001000111100000110011100000000010000001010000000001111111000000001100010000001011
V.VIB 613 nereis-   VIB 514 001110010000010001000100000000110000000000000000000000000000000000000000000000000000010000000011
V.metschnikovii r   VIB 443 001111010110010111000110111110111011000000101010000001100001100011111111100100001100011001001000
V.  metschnikovii   VIB 442 011111010111010111100110011010111011110000100010000001111001100011111111100001011101011101001000
V.       FKFO 153   VIB 517 001110010001010001000111000000110010000000000000000001000000000000010110000000001100010000001011
