RFT 26                           0051                          0000110100000010100000010000001000000000100100100011111001001101001000000000000110011111101111111111001110011110110110000000011101111101101111000000011000110000110011111000000011101110001111000111001110000010101100011000011000111000000000001011101100001100001000110110001100011111000011110000000011000100010001101100110
RFT 22                           0052                          0000111000000010100000100000001000000000101000100110111001001101001100000000000100011111101111111111001100011110110110000000011101111101101110000000011000110000110111111000000011101110001101000110001110000010101100010000011000111000000000001011101100001100001100110110001100011111000011110000000011000010010001101010110
FKFO 147                         0053                          0001110000000011100000110000001100000000111100110010111101001111001100000110000110111111100011111100001110011011011110000000011110111111001111000000011000110000110110111000000111100110001111100111001111000000101100011100011000111100000000001011101100001100000000110110001100011111000001110000000011000000000000000000000
FKFO 138                         0054                          0000110000000010010000010000001100000000110100110010111100001111001100000110000110111111100011111100001110011011110110000000111111111111011111000000011000110000110110111000000011101110001111100111011111000000101100011000011000111100000000001011111100001100000000110110001100011111000011110000000011000000000001100000000
TAR 1                            0055                          0100000000000000000000011000101110000110100001010011011010100101000110000000011010001000100011100000100000001000100001001000010100000000101000000000000000000000010100011100001001001100001000100000101000000111000000010111010001000111101011110111100011010011001101100010100000011111000011011111110101000010001110110110000
FKFO 136                         0056                          0100000000000000000000011100101100000011100001010101011010100101100110000000011010001000100011100000100000001000101001001000010100000000101100000000000000000000010100001100001001001100011000100000101000000111000000001111000001000111101011110111100010110011001101000100100000101100000011010100110000000000000000000000000
LMG 19703T                       0057                          0100001000000000010000001000100000000010100001010001010010000001000010000000011000100001000001100001000000111001100100011010100100000000100100000000000100000000011000011100000001001000001000000000011100100101000000011110010000100111010101110001100001110011110100000100000001010111000011110100111100000000000000000100000
VIB 419                          0058                          0100000000000000000000000101001001000001110000010011100010100111100110000000011100001000001111100001000000001000000000001000011100000001101100000000000000011000110000001100010011001100011000000000000000100100000000010110000000000100110100110011100000000011001010000100000000010100000011000000000000000000000000000000000
LMG 11259                        0059                          0100000100000000000000000101001001001010110010010111111010100101100110000000011100011000011111100001100000001000000010001100011100000000101100000000000000001100011110001100011001101100011000000000101001100101000000010110110000000110111010111011100010111111011111000110100100011110000011010100110001000000001100000000000
LMG 11258T                       0060                          0101000000001000000000001101011101000010110000111111111110101111110111000000111100011000011111100001100100001001100001001100111100000001101100000000000000000000011110001110011011101100011000000000111101100011011000011000110000100110110011111011100011011111011111100110000110010111100011111110110000000000001100000000000
LMG 16836                        0061                          0100010010000000000000001101001111111001000000111111011110111111110111000000111110011000111111100001100110011000000001001100011110000001100000000000000000000000011110011000001000001100011100000000001101100011010000010110011000100111100011011001100011011111111100000110000000011011100011000110011001100011001110110011000
TAR 2                            0062                          0100000100000000000000011100111100000110100001010011011010100101100110100000011010001000111111100000100100001000101101001100011100000001101100000000001000000000010110001110011001101100010100000000101100000111100000001111111011000111100011110111100001011011101111100110110000011111000011011110111001100001101110110110000
LMG 11663                        0063                          0100000100000000010000001001001111001011100000010111111010000101110110000000011100011000000111100001100110001000001101101100011100000001101100001100010000001100011110001110011001101100011100000000001011000101100000000110111001101110100011111011100000111011110111100110100101100111100011011110111101100000000111110111000
VIB 420/R14995                   0064                          0000001111000000110000000011000101000000000000010110011000000000000000000001111111001000000110000000000000011000000000001000010100000000100000000000000000000000011000000100001001001000010000000000000001000101000000001110000000000010010010010011101000010011001110000110000001101100000011110100001000000000001000000000000
K 14                             0065                          0011111111111100001100010010000001000110000000001000000001110000001111111110111000000000111000000000110011000000001110000001111100000001111000000000000000000100001100001000000000000000000100000001000011010000011000000011111100001100111100110001100001000110000000100000000111100011000011110111100000000001100000000000000
K 26                             0066                          0000100001001000001110010010000001000110000000001000000000111000000010101100001000000000001000000000110001000000000110000001101100000000111000000000000000000110001101011100000000000000000110000001100011100000011000000011111100000100111011110001100001000110000001100000000111100011000011110010110000000001100000000100000
NCIMB 13582T                     0067                          0100100001001000001100110100000000000110000000001000000100101000000011101100001000100000110000010000010101000000001001000000110110000101010000000000010000000100001011011000000000000000000100000001000010100000010001000010101000001100110100100101000010000100000001000100000101000110000011110101100000000001100000000000000
K 31                             0068                          0000100001001000000100110000000001000100000000001000000000000000000111111100011000000000111000000000110011000000000010000000101100000000001000000000000000000010000101011100000000000000000110000000000011000000011000000011110000000100110101110001100000000010000000000000000110100000000011010010100000000001100000000000000
K 32                             0069                          0100100001001000001010010110000000100010010011111000001100100000000001000000000100000000011000010000111110110000000011000000110110000000000000000000011000111110001111011110000000011000000110000000000011100000011000000011010100001110110110110001110011000000000000110100000111100011110011100011111000000001100000000000000
K 16                             0070                          0110100101001000000010110100000000101011000000001010000100100000100011000100000011000000010000100000000001011000000001000001101110000001111000000000000101101001101111011111110000000000000110000001100011110000011011000011111100001110110111110110111011000000000000000110000111100011000011100011111100100001100000000000000
INCO 317                         0071                          0000000010000010000000000010000100000000011000111001011110000110101110001100110000011110110011000110000000000000001100110001100000111101100001100000000100000111111101110000000111101100100110000000000000011000000011000011110011001111001100001101110111110000001100011111000111100110000011101001001010010100110011000000000
INCO 338                         0072                          0000000010000010000000000010000100000000011000111111111110001110101110001100110000011110110011100110000000000000001100110001100000111101100001100000000100000111111101110000000111101100100110000000000000011000000011000011110011001111001100001101110111110000001100011111000111110110000011101001101010010100110011000010000
INCO 337                         0073                          0000000010000010000000000010000100000000010000011001011110000110100110001000100000011100110011000110000000000000001100110001100000111101100001100000000100000111111100110000000111101100100110000000000000011000000011000011110011001111001100010101110111110000001100011111000111110110000011100011001010010100110011000000000
INCO 332                         0074                          0000000010000010000000000010000100000000001000001101010110000100000100001000100000001100100011000100000000000000001000010001000000110101100001100000000100000111111101110000000111101100100110000000000000011000000011000011110011001111001100001101110111110000011000011111000111110110000011101011001010010101110011000000000
INCO 328                         0075                          0000000010000010000000000000000100000000011000011101011110000110001110001100110000011110110011000110000000000000000100110001100000111001100001100000000000001111111111110000000111101100100110000000000000011000000011000011110011001111001100001111110111110000001100011111000111110110000111000010000010010101000000000000000
INCO 320/R15006/LMG 20010        0076                          0000000010000010000000000010000100000010011000011111011000001110110110001000110100011110110011100110000000000000001100010011100001111100000110000000000000000111111111110000000111111100100110000000000000011000000011000011111110001111001000001101110111110000011000001110000111100100000011100010000000000000000000000000000
STD3 1028                        0077                          0000000010000000000000000010000000000000011000101000010000000100000100001000100000110000100001000100000000001000001000010001000011110000000110001000000000000111010000110000000111111000000100000000000000011001000010110011000110001110000000000011100110100000000000001000000001100110000011100001100000001000000110000000000
INCO 297                         0078                          0001100001001000010000000100000000001000010000000100110010001010001001000000010001000010000101000000101000110000001011000101000001100000011001011000110110110000001100011001111011111011011100011101101100011000111110011000011011011000011011000001100001100110000011101110000001100010101011101100110001100000100000000000000
STD3-1247                        0079                          0011100000000000000000000100000100000011000000010100100000000110011000010000111001000011000011000000101111111010001111000110011110000000010000011000011010110000001000101001110000111011011100011001100000010100101110011000011000011101011010000001111000110001100111000101001101101111111011101100100011000000000000000000000
STD3-931                         0080                          0001100011111000110000001100000000000000010000001100110000110110000001011001100001000010001001000000001001010000000000000100000000000000010001110000010100100000001000101001010100110001011000010001100000010100100100010000110010010000010010000001100000111100000011000100000001100010001011101000100011000000000000000000000
VIB 839                          0081                          0100000010101000010010000101101100001000010001000111101000100010000000110110100001000000010000101010101100101100101010001010000000010100000100010000011001000101000011110001100011001000101110011101001110110000000001111000000000011110001000100001100001011000100000000011000001101110110011100000101001010100000000000000000
INCO 305                         0082                          0000000010110000010100000100100100001000000000010011101000010110110101010010100010101000010001000100101000010000001100010100000000011100110100010000110100000101000001111011100011110000101100011111000100000000011101001100001000001110101100000101101101101101000110100011000001100110110011101000101100110000000000000000000
INCO 257                         0083                          0100001110100000000010011111100010011000000000000110101100100010000001010000100001000001101000100000110010111000001111001010000000111110010011110000111111000111100011100110100001101100101000011100000000011000000110101111111000011110011101110001100001101010110010001110000011101111100011111000101000010000000000000000000
INCO 31/R15037                   0084                          0000000010100000010101000110000100001000000000000010001000101110100101110000000010100000111011110010011111111000001111010110000001110111111110010000111110000111100011100011110000101100110100011111000110000010000001001100001010001111101100011001101101101010100110100110110000011000111011101000100000011001000000001000000
INCO 35                          0085                          0000000010100000010101000110000100001000000000000010001000111110101111110000000010100000111011110010011111111000001111010110000001011111111110010000111110000111100011100011110000101100011100011111000101000010000001001000001010001110101100011001101101101010100110100011010000010001101011101000100000011001000000001000000
STD3-1008                        0086                          0010000000100001000000100010000000001001000000001000000000000000000010000010010001011000100000010000000011110000000000000110110000000000000100000000100000000001000011100011010011100000111110111100110011000001100000000010000000111000011000001001100001011000001001011001000010100110010011100100000000100000000000000000000
LMG 3897T                        0087                          0010000000101000000001000010000000001001100000001000000000000000000010000010010001001000100000010001100001100100000000000000000010000001000100100000100100000000100011100010110010110000111111011100011011000000100110000000000000111100011000001001111001010000010000010101000010000110100011000101100000010100011000000100010
LMG 14011                        0088                          0001000000011000101000010100000010000000010000000010101000100100010101000101000010100000001000000000000101000101000000001001011110011110000000101000011000011100100010100011000111000001010000000000000000000001000011000000110111000000101010111101100011100000001100101100010111000011100011001011100001100001100011000000000
NCIMB 2252T                      0089                          0000010100000000001010100011100000000001000000010101000100010100000001110000100001000000000000000000001100011011100001000000000110111100000111100011000000101110000000110000000111100111000011001100000011000000011100000101100111100111100000100000110110000000000000000000010100000111110011100110000000000001000000000000000
VIB 523                          0090                          1100000000000000000000110001100001111000000000011110000000011110011101100000000001000001000010010000001100110000000000000001011001011110000101100000100001100110000001100001100010100000010000111110000110000010000001000001000000100000010001100101000000000000000000001010000010000001000011100000000000000000000000000000000
VIB 816                          0091                          0000000000000000001000010001000000000000000010001101100000011000000000101100100000001100000000100000001100011000000010000000001101100000010101100000000111111000001100011000110011111111110001100011001111110111110001101100000011111100000001100101100000000000001101101000000011100000110011000010000001100000000000000000000
